,title,date,state,region,subregion
267,25th amendment spells end for Trump: good riddance to bad rubbish,2016-12-01 19:30,Indiana,"bloomington, IN",
268,Gov Pence Gives Carrier A Big Bag of Cash to Keep Half The Jobs,2016-12-01 13:10,Indiana,"bloomington, IN",
269,The American Suicide,2016-12-01 12:27,Indiana,"bloomington, IN",
270,Trump is Fu$king Clueless about Foreign Policy,2016-12-01 10:06,Indiana,"bloomington, IN",
271,Democratic history The facts,2016-12-01 08:04,Indiana,"bloomington, IN",
272,Trump-Pence paid off Carrier with IN taxpayer money,2016-11-30 21:39,Indiana,"bloomington, IN",
273,Trump bleeding out of his Gold Man-Sacks,2016-11-30 21:30,Indiana,"bloomington, IN",
274,Trump kept his promise,2016-11-30 21:10,Indiana,"bloomington, IN",
275,Trump bleeding out of his wherever,2016-11-29 21:10,Indiana,"bloomington, IN",
276,About Jill the Pill,2016-11-27 22:22,Indiana,"bloomington, IN",
277,ALL STAR LICENSED HAULING..CALL FOR A QUOTE,2016-11-27 18:55,Indiana,"bloomington, IN",
278,Electoral College Challenge,2016-11-27 03:25,Indiana,"bloomington, IN",
279,Something Fishy Going On in Rust-Belt Swing States,2016-11-26 12:17,Indiana,"bloomington, IN",
280,Reading the Future... By Looking to the Not Too Distant Past,2016-11-26 09:02,Indiana,"bloomington, IN",
281,RE Proof of massive Democrats voter fraud thousands voter fraud ..,2016-11-26 07:45,Indiana,"bloomington, IN",
282,Kellyann Goebbels: the Dive Bar Tour,2016-11-25 10:52,Indiana,"bloomington, IN",
283,Trump't Music Video,2016-11-24 01:06,Indiana,"bloomington, IN",
284,"The ""Mods""....?  LOL......",2016-11-22 21:07,Indiana,"bloomington, IN",
285,ELECTION DAY POLL WORKERS IN MARION COUNTY,2016-11-22 12:33,Indiana,"bloomington, IN",
286,Share your thoughts on the Elections - 2 minutes - $6,2016-11-21 17:45,Indiana,"bloomington, IN",
287,Mexican/Latino Immigrant Terroritorial Claims on the US Aztlan/La Raza,2016-11-21 11:48,Indiana,"bloomington, IN",
288,"ALL STAR INDY TRASH, JUNK & CLUTTER HAULING..CALL NOW",2016-11-21 08:13,Indiana,"bloomington, IN",
289,Donald Philby Trump,2016-11-20 17:09,Indiana,"bloomington, IN",
290,Trump't Music Video,2016-11-17 16:02,Indiana,"bloomington, IN",
291,10 gallon fish tank,2016-11-16 10:18,Indiana,"bloomington, IN",
292,leopard geckos,2016-11-16 00:38,Indiana,"bloomington, IN",
293,"Boycott ABC, CBS & NBC",2016-11-16 00:02,Indiana,"bloomington, IN",
294,"I SELL TRUMP SHIRTS, HATS, etc.. Get them while they last!",2016-11-15 11:50,Indiana,"bloomington, IN",
295,ISO AKC red miniature male poodle,2016-11-15 09:54,Indiana,"bloomington, IN",
296,Rant at Walmart,2016-12-23 09:59,Indiana,"bloomington, IN",
